Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
VIRENDRA KUMAR SHARMA,12th Pass,Agriculture,7230000,72 Lakh,300000,3 Lakh,0
MOHAMMAD ALI IRFAN,Graduate,Business,12310020,1 Crore,698070,6 Lakh,0
ASHOK SHARMA,Graduate,Business,78410000,7 Crore,0,0,0
SHASHI KANT PRASAD,Post Graduate,"Govt Service , Govt. Teacher",17973332,1 Crore,988690,9 Lakh,0
RANJEET SHARMA,Literate,Labour,4880000,48 Lakh,0,0,0
CHANDRA MOHAN KUMAR,Graduate B.A,Social Worker,2296988,22 Lakh,0,0,1
RAM RATAN PRASAD SINGH,12th Pass,Agriculture,9155103,91 Lakh,0,0,0
DHARMENDRA PASWAN,Literate,Labour & Singer,187000,1 Lakh,0,0,1
KEDARNATH BHASKAR,8th Pass,Social Worker,200000,2 Lakh,0,0,0
SHAKTI KUMAR SAHANI,Graduate Bachelor,Self Employed,60000,60 Thousand,0,0,0
RAMDAS TIWARI,12th Pass,Agriculture,65240000,6 Crore,0,0,3
PRATIBHA SINHA,Post Graduate,Advocate Supreme Court Delhi,25724000,2 Crore,1711190,17 Lakh,1
ANAND RANJAN,Graduate,Agriculture,287000,2 Lakh,0,0,0
SHIV SHANKAR DAS,10th Pass,Labour,1073000,10 Lakh,0,0,2
SHAHID ALAM,Graduate B.Sc,Journalist,72500,72 Thousand,479250,4 Lakh,0
AVDESH KUMAR PANDIT,12th Pass,Farmer,2320000,23 Lakh,120000,1 Lakh,0
JAMUNA LAL SRIVASTAVA,12th Pass,Pension 36000/ - Per Month,430000,4 Lakh,0,0,0
DIPAK KUMAR,10th Pass,Agriculture,12769000,1 Crore,0,0,0
ANUP KUMAR SHRIVASTAVA,Graduate BA,Agriculture,17095000,1 Crore,0,0,2
VINITA MISHRA,12th Pass,Insurance Agent,34207056,3 Crore,228660,2 Lakh,1
SUSHIL KUMAR,12th Pass,Business,37745265,3 Crore,860970,8 Lakh,0
RAVI KUMAR,12th Pass,Social Work,4214706,42 Lakh,637160,6 Lakh,1
VISHESHWAR CHAUHAN,10th Pass,Business,226000,2 Lakh,0,0,0
SATEESH KUMAR,Post Graduate,Agriculture,144000,1 Lakh,0,0,1
BIRENDRA KUMAR,Graduate Professional,Business,10720000,1 Crore,673350,6 Lakh,0
RANJIT KUMAR PANDIT,12th Pass,LIC Agent & Agriculture,1036300,10 Lakh,341630,3 Lakh,0
MANEGAR RAY,Literate,Agriculture,115000,1 Lakh,0,0,0
RAVISHANKAR PRASAD,Post Graduate,"Agriculture, Social Work",8358326,83 Lakh,0,0,0
SONU KUMAR,Post Graduate,Social Worker,22160000,2 Crore,0,0,1
RAMAYAN SINGH,Literate,Social Worker,15490000,1 Crore,0,0,0
MOHAMMAD PIYARE,10th Pass,Business,3117000,31 Lakh,0,0,0
DHIRENDRA KUMAR DHEERAJ,Graduate Professional,Agriculture,9188216,91 Lakh,660070,6 Lakh,6
RANJEET KUMAR RAM,Graduate B.A.,Education and Teaching,4091000,40 Lakh,0,0,0
MOHAMMAD NAZIR,10th Pass,Furniture Shop,1467417,14 Lakh,138662,1 Lakh,1
YOGENDRA KUMAR YADAV,10th Pass,Agriculture,840000,8 Lakh,0,0,5
SANDEV KUMAR RAY,Graduate,Agriculture & Other,2522267,25 Lakh,0,0,0
SUDARSHAN MISHRA,Graduate,Agriculture,14140000,1 Crore,0,0,3
SHAMBHU SINGH,Graduate B.Com,Agriculture,5392000,53 Lakh,0,0,0
MANOJ KUMAR SINGH,Post Graduate,Doctor,4705783,47 Lakh,1965380,19 Lakh,0
MANISH KUMAR SINGH,Graduate BCA,Job,439100,4 Lakh,910800,9 Lakh,0
AJAY KUMAR SINHA,12th Pass,Poultry,11440186,1 Crore,0,0,0
RAKESH PASWAN,Graduate BA,Social Service,45000,45 Thousand,0,0,0
SHUKESH KUMAR,Graduate Magadh,Social Work,220000,2 Lakh,150000,1 Lakh,0
SIYA LAKHAN YADAV,10th Pass,Agriculture,7121000,71 Lakh,0,0,0
DINESH PRASAD CHOUDHARY,10th Pass,Agriculture,22901000,2 Crore,0,0,0
DHIRENDRA KUMAR MAHTO,Post Graduate,Business and Social Worker,12039948,1 Crore,697270,6 Lakh,0
RAMJATAN CHOUDHARY,Graduate,Business,500000,5 Lakh,0,0,0
SOHAN GOND,5th Pass,Labour,3303000,33 Lakh,0,0,0
RAHUL KUMAR,12th Pass,Nil,10990000,1 Crore,553420,5 Lakh,0
ABHAY KUMAR SINGH,"Graduate Graduate,","Social Service, Agriculture , Business",53147115,5 Crore,469220,4 Lakh,0
ABDUL QUDDUS,Graduate,"Business, Social Service",6800115,68 Lakh,0,0,0
DABLU KUMAR GOND,12th Pass,Labour,240000,2 Lakh,0,0,0
NEERAJ RAM,Post Graduate,Pvt. Tution,819000,8 Lakh,0,0,0
NAND KISHORE SHARMA,8th Pass,Social Worker,15700000,1 Crore,0,0,2
SADHANA KUMARI,12th Pass,Customer Care Center,5476500,54 Lakh,0,0,0
SHRI RAJ PASWAN,12th Pass,Advocate,407000,4 Lakh,0,0,0
SANJIV KUMAR PASWAN,12th Pass,Agriculture & Politics,6320000,63 Lakh,0,0,0
RAGHWENDRA KUMAR KHARWAR,Graduate,Agriculture,559000,5 Lakh,0,0,1
SUDARSHAN KUMAR,12th Pass,Proprietor in Petrol Pump,48550000,4 Crore,11981230,1 Crore,0
SRI KANT KUMAR,12th Pass,Labour,121250,1 Lakh,0,0,0
VIJAY TANTI,Literate,Nil,1021000,10 Lakh,0,0,0
MANISH KUMAR SINGH,Post Graduate,"S & M Farmahill Pvt. Ltd. share 50%, Director Koshi Science Classes pvt ltd. , Agriculture and Social worker, Shareholder in KSC Pvt ltd. salary",48194212,4 Crore,698630,6 Lakh,12
RAMESH KUMAR,Post Graduate,Agriculture,2420110,24 Lakh,545490,5 Lakh,0
MANOJ MUKHIYA,5th Pass,Agriculture,55000,55 Thousand,0,0,0
BASANT KUMAR,10th Pass,Sensor Workers,275278,2 Lakh,0,0,0
PRIYANKA KUMARI,12th Pass,Nil,6405000,64 Lakh,0,0,0
RAJEEV RANJAN,8th Pass,Contractor,633980909,63 Crore,64708800,6 Crore,0
SHREEMATI ANJU DEVI,Graduate,No,14900000,1 Crore,0,0,0
RANVIJAY KUMAR SINGH,Graduate B.Sc.,Social Worke & Business,100179279,10 Crore,4867740,48 Lakh,0
PANKAJ KUMAR,12th Pass,Agriculture,586600,5 Lakh,513390,5 Lakh,1
MAHARUDRA JHA,12th Pass,Social Work & Agriculture,4963800,49 Lakh,0,0,1
ROHIT KUMAR,Post Graduate,Self Employed,80000,80 Thousand,0,0,0
GANESH CHOUDHARY,Graduate,Private Teacher,2141000,21 Lakh,0,0,0
RAVI RANJAN KUMAR,Graduate,Business,3151000,31 Lakh,0,0,0
MD SHABAB RAHBAR,12th Pass,Business,926000,9 Lakh,0,0,0
NAVIN KUMAR,Post Graduate,Professor,4500500,45 Lakh,1311470,13 Lakh,0
DEWA KANT MISHRA ALIAS MUNNA BHAIYA,Graduate,LIC Agent,12265000,1 Crore,0,0,0
SHIV KUMAR RAM,Post Graduate,Advocate,5523000,55 Lakh,415460,4 Lakh,2
SURAJ BHAN,Literate,Business,28467000,2 Crore,0,0,2
RAVIRANJAN KUMAR SINGH,Others 2005,50000/-,760000,7 Lakh,0,0,0
SAROJ KUMAR SUMAN,Post Graduate,Social - Political Work,2420773,24 Lakh,0,0,0
USHA AKELA,12th Pass,Nil,0,0,0,0,0
AMRESH PRASAD SINGH,12th Pass,Agriculture,577000,5 Lakh,0,0,0
RAJESH SINGH,8th Pass,Business,20235000,2 Crore,0,0,0
SANJAY YADAV,Literate,Agriculture,20468000,2 Crore,757530,7 Lakh,1
RUBI KUMARI,12th Pass,Labour,517000,5 Lakh,0,0,0
OM PRAKASH PRASAD,Graduate,Agriculture,5000000,50 Lakh,0,0,2
NAURAJ SAH,Literate,Mobile Mechanic,545000,5 Lakh,0,0,0
RAKHI GUPTA,Post Graduate,House Wife,76890558,7 Crore,1080420,10 Lakh,1
SHYAM BABU RAY,8th Pass,Singer,2227000,22 Lakh,0,0,0
GAJENDRA KUMAR SINGH,Post Graduate,"Farming, Housewife",18626764,1 Crore,699470,6 Lakh,1
SHYAM NANDAN SHARMA,Graduate Professional,Doctor,23701375,2 Crore,705360,7 Lakh,0
SANJAY PASWAN,10th Pass,Social Worker & Agriculture,5092300,50 Lakh,451950,4 Lakh,1
CHANDAN KUMAR,Graduate B.A.,Agriculture,22090102,2 Crore,0,0,0
RAM PRAKASH PANDEY,12th Pass,Social Work (Full-Time Social Work),1319049,13 Lakh,0,0,0
ANIRUDH KUMAR,Graduate Professional,Advocate,247000,2 Lakh,0,0,0
NIRMALJEET,12th Pass,"Agriculture, Private Job",4123629,41 Lakh,0,0,0
RAKESH KUMAR SINGH,12th Pass,Social Worker,151000,1 Lakh,0,0,0
PRIYANKA CHAUHAN,Post Graduate,Business,1004375,10 Lakh,20950,20 Thousand,0
MUKESH SINGH,8th Pass,Agriculture and Milk Business Other Business,20746882,2 Crore,1124560,11 Lakh,7
RAJNISH KUMAR,Graduate Professional,Pvt. Teacher,5573646,55 Lakh,747430,7 Lakh,0
ASHISH RANJAN SINGH,Graduate B.A.,Business,21000000,2 Crore,0,0,0
RAJU MAHTO,Literate,"Motor Driver, Fruits Business",6065000,60 Lakh,110000,1 Lakh,0
RAJ KUMAR SINGH,12th Pass,Nil,3771000,37 Lakh,0,0,0
ABHIRANJAN KUMAR,Graduate B.Sc.,Student,3129000,31 Lakh,0,0,0
AWADHESH KUMAR GUPTA,12th Pass,Business,9058837,90 Lakh,1468660,14 Lakh,0
RAM NATH RAY,Graduate,"Private Teacher, Social Worker",1963507,19 Lakh,0,0,0
DOMI SHARMA,Literate,Labour,1685000,16 Lakh,0,0,0
CHANDRASHEKHAR MAHTO,8th Pass,No,550000,5 Lakh,0,0,0
BAIJNATH PRASAD,Graduate B.A.,Pension (Former Air Force Army),41173493,4 Crore,699550,6 Lakh,0
MOHAMMAD RIZWANUL AZAM,12th Pass,Nil,4587410,45 Lakh,283420,2 Lakh,0
ARJUN KUMAR NIRALA,10th Pass,PDS Shop (Jan Vitran Pranali Shop),2960000,29 Lakh,0,0,1
JAMIL AHMAD,Graduate,Private Service,237900,2 Lakh,0,0,0
UDAY CHANDRA CHAUPAL,Graduate Professional,Business and Agriculture,9745000,97 Lakh,0,0,0
BRIJBHAN RAM,12th Pass,Business,1800000,18 Lakh,0,0,0
RAJA KESHRI,12th Pass,Dependent on parents,210000,2 Lakh,594820,5 Lakh,0
MRINAL VARUN,Post Graduate,Farmer,5100500,51 Lakh,0,0,0
OM JEE KUMAR,Graduate,Business,16248731,1 Crore,685500,6 Lakh,0
RAUSHAN KUMAR,12th Pass,Labour,535000,5 Lakh,0,0,0
KUSUMLATA VERMA,Post Graduate,"Social Worker, LIC Agent",23647350,2 Crore,632170,6 Lakh,0
MUNESHWAR PRASAD GUPTA,5th Pass,Business and Agriculture,5551599,55 Lakh,0,0,0
VIVEK SHUKLA,Literate,"Agriculture, Social Work",2310000,23 Lakh,697660,6 Lakh,0
RAMESH SAH,10th Pass,Business,1695742,16 Lakh,647540,6 Lakh,0
SANJIV CHAUDHRI,12th Pass,Business(Readymade Garments),28985663,2 Crore,698260,6 Lakh,3
SHIVJI KUMAR,8th Pass,Agriculture,2665000,26 Lakh,0,0,0
MUKESH KUMAR,10th Pass,Agriculture,12000000,1 Crore,327820,3 Lakh,2
RAMJEE MANDAL,10th Pass,Retd.,361000,3 Lakh,0,0,0
RANJIT SADA,Illiterate NIL,Labour,213000,2 Lakh,0,0,0
PINTU PASWAN,Literate,Social Work,30000,30 Thousand,0,0,0
SATYENDRA KU SAHNI,Post Graduate,"Agriculture, Fisheries, Social worker",44492000,4 Crore,697830,6 Lakh,3
MANOJ JAMADAR,8th Pass,Agriculture & Social Worker,9098000,90 Lakh,0,0,2
LALIT KUMAR GHOSH,Graduate B.A.,Agriculture,1972672,19 Lakh,0,0,0
HIRALAL SINGH,8th Pass,Retired Army,17640872,1 Crore,0,0,0
RANJEET KUMAR,Graduate Economics,Agriculture,233746000,23 Crore,699040,6 Lakh,0
ARVIND KUMAR MAURYA,Post Graduate,NA,24106029,2 Crore,0,0,1
ASHOK KUMAR VARMA,Graduate Professional,Advocate,556530,5 Lakh,699470,6 Lakh,0
SURENDRA YADAV,Graduate BA,Medical,4934000,49 Lakh,0,0,0
FULO SAHNI,Literate,Farmer,2774793,27 Lakh,0,0,0
SURENDRA GUPTA,Post Graduate,Social Work,1118432,11 Lakh,0,0,0
ABHINAV RAJ,Graduate Professional,"Social Worker, Other Labour Work",103929,1 Lakh,0,0,0
SHANKAR SHARMA,10th Pass,Agriculture,130000,1 Lakh,0,0,0
NARESH KUMAR NAWAL,Post Graduate,Pension,5277321,52 Lakh,0,0,0
RAVI KUMAR,Literate,Agent,417995,4 Lakh,0,0,0
SHIV DAS SINGH,12th Pass,Pension,647059,6 Lakh,0,0,0
VISHWANATH SAH,8th Pass,"Agriculture, Labour",2769480,27 Lakh,0,0,0
SHYAM BAHADUR SINGH,8th Pass,Nil,5055300,50 Lakh,834300,8 Lakh,4
PRAHLAD,Graduate B.A.,Agriculture,11250000,1 Crore,0,0,0
AMIT KUMAR ALBELA,Graduate Graduation,Business,18331716,1 Crore,521730,5 Lakh,0
DILIP KUMAR SAHANI,8th Pass,Agriculture,5125000,51 Lakh,0,0,0
SIKANDAR KUMAR,Graduate B.A.,Nil,18600000,1 Crore,1896450,18 Lakh,3
SANJEET MANJHI,5th Pass,Labour,0,0,0,0,0
VIDYA PRAKASH,Graduate,Architech,0,0,698720,6 Lakh,0
SANDHYA KUMARI,Graduate B.A.,House Wife,670000,6 Lakh,0,0,0
VIVEKANAND PRASAD,10th Pass,Job (Pension),9720000,97 Lakh,466490,4 Lakh,0
SARSWATI KUMARI,Graduate,Social Service,712000,7 Lakh,0,0,0
BULBUL KUMARI,Graduate Professional,Housewife,1885891,18 Lakh,0,0,0
ASAD ALI,Graduate Alim,Wages in Marble Work,400000,4 Lakh,0,0,0
SHIVANG VIJAY SINGH,Graduate B.A.,Agriculture,48034681,4 Crore,114080,1 Lakh,0
ANIL DAS,Literate,Labour,1690000,16 Lakh,0,0,0
NISHANT GANDHI,Graduate,Business,2273000,22 Lakh,0,0,3
RANA YASHWANT PRATAP SINGH,Graduate Professional,Advocacy,3516344,35 Lakh,655130,6 Lakh,5
MANAN SHAH,Literate,,2800000,28 Lakh,0,0,0
RAJIV KUMAR SINGH,Literate,Agriculture,5751879,57 Lakh,0,0,0
VIMAL PRASAD,Literate,NA,11524900,1 Crore,0,0,0
SACHIDANAND SINGH,10th Pass,Agriculture & Pension,2492300,24 Lakh,0,0,0
AJIT KUMAR,Literate,Business,255000,2 Lakh,0,0,0
MUKESH KUMAR,10th Pass,Agriculture,13759000,1 Crore,650140,6 Lakh,0
RAMLAL MANJHI,12th Pass,"Agriculture, Panchayat Samiti Member",1130000,11 Lakh,0,0,2
LALAN KUMAR,12th Pass,Self employed,5074000,50 Lakh,0,0,0
RAVIKANT PRASAD YADAV,12th Pass,Agriculture,12358104,1 Crore,0,0,0
NITISH KUMAR DIWEDI,12th Pass,Agriculture and Social Service,904195,9 Lakh,420840,4 Lakh,0
MD SHAQUIB NAJMI,Post Graduate,Social Worker,30000,30 Thousand,0,0,0
RAJESH KUMAR,Literate,Business,169900,1 Lakh,0,0,0
VIJAY THAKUR,8th Pass,Agriculture,155000,1 Lakh,0,0,0
PANKAJ KUMAR,10th Pass,Agriculture and Social Service,6775000,67 Lakh,0,0,2
VIKRAM KUMAR GUPTA,Graduate School,Student,0,0,0,0,0
MUNESHWAR CHAUDHARY,Graduate Professional,Ex-Bihar Legislative Assembly Member Pension (133000/-),22395052,2 Crore,1728930,17 Lakh,1
SUMIT RANJAN SINHA,Post Graduate,Teacher,154826,1 Lakh,13270,13 Thousand,0
AMARJEE MISHRA,Post Graduate,Rs. 15000/- monthly from the priestly work,2928314,29 Lakh,0,0,3
CHANDU CHAUDHRY,10th Pass,Business,11683000,1 Crore,696190,6 Lakh,0
SUNAINA DEVI,5th Pass,Agriculture,373000,3 Lakh,0,0,0
PANKAJ KUMAR SAHU,12th Pass,Agriculture,4045000,40 Lakh,615000,6 Lakh,0
SACHIDANAND PASWAN,Graduate Gradaute,Lobour,3845000,38 Lakh,0,0,0
BALARAM THAKUR,12th Pass,"Business, Agriculture",4175000,41 Lakh,569610,5 Lakh,0
RAMAISHWAR PRASAD RAY,Post Graduate,Agriculture,2400000,24 Lakh,0,0,0
RAJESH KUMAR JHA,Post Graduate,Dependent on Parents and Marshal arts Trainer,7784557,77 Lakh,20000,20 Thousand,0
AVADHESH KUMAR JHA,Graduate BA,Agriculture,12408639,1 Crore,4758040,47 Lakh,0
NITU KUMARI,10th Pass,House Wife,6329154,63 Lakh,460740,4 Lakh,0
SHANU KUMAR,Graduate Professional,Advocate,365000,3 Lakh,633650,6 Lakh,0
SHARVAN PANDEY,10th Pass,,827000,8 Lakh,0,0,0
RAMESH KUMAR SINGH,Graduate Professional,Advocate,1376548,13 Lakh,500000,5 Lakh,0
MOHIT PASWAN,Graduate,Social Service,3760000,37 Lakh,543710,5 Lakh,2
SANTOSH KUMAR,12th Pass,Agriculture,1955660,19 Lakh,0,0,0
PUJA KUMARI,Post Graduate,Business,25536,25 Thousand,0,0,1
JITENDRA KUMAR,12th Pass,Pvt Tution,4244929,42 Lakh,0,0,0
UMESH CHOUDHARY,8th Pass,Agriculture,3499562,34 Lakh,0,0,1
TANISHA BHARTI,10th Pass,Social Service & Agriculture,0,0,695450,6 Lakh,0
KARMOO SAH KESHARI,"Graduate Graduation,",Furniture Shop,2871042,28 Lakh,295310,2 Lakh,2
SHAKTI PASWAN,Graduate,Business (Asha Pharmacy Sabalpur Patna),465508,4 Lakh,613220,6 Lakh,4
AMRESH KUMAR,Graduate,Teacher,5500000,55 Lakh,0,0,0
ANUJ KUMAR SINGH,Post Graduate,Professor,712005,7 Lakh,246610,2 Lakh,0
SAIFUDDIN AHMED,Graduate BA,Agriculture,7140000,71 Lakh,0,0,0
RAM LAL TANTI,Graduate B.Sc.,Agriculture,5540000,55 Lakh,0,0,0
SATYENDRA KUMAR KUSHWAHA,Graduate Graduation,LIC Agent,11294501,1 Crore,698110,6 Lakh,0
PROBHENDRA JHA,Post Graduate,Agriculture,5560000,55 Lakh,0,0,0
ZAHID IQBAL,Graduate Professional,Freelancer (Online Work/Software Development),0,0,0,0,0
ARVIND KUMAR,Literate,Agriculture,14142442,1 Crore,0,0,0
AMAJAD KHAN,8th Pass,Business,3082703,30 Lakh,491260,4 Lakh,4
SAHABUDIN MIYA,Literate,Agriculture,2700000,27 Lakh,0,0,0
KIRAN YADAV,10th Pass,House Wife,4435033,44 Lakh,0,0,1
RAJA KUMAR,12th Pass,Agriculture,15560000,1 Crore,0,0,0
ANAND KUMAR,Graduate,Labour,1550000,15 Lakh,0,0,0
NIKKI JHA,Graduate Professional,Director S. S. Skurtida Pvt Ltd,17200000,1 Crore,400925,4 Lakh,0
MD JAFRUDIN,Illiterate Nil,Labour,1050549,10 Lakh,0,0,0
PRANAV PRAKASH,Graduate Professional,Agriculture,10832000,1 Crore,1455140,14 Lakh,0
SANTOSH KUMAR MANDAL,Literate,Animal Husbandry,7834000,78 Lakh,0,0,2
RAGHUNANDAN MANJHI,Post Graduate,No,36382999,3 Crore,1203600,12 Lakh,0
MITHILESH KUMAR,8th Pass,"Social worker, Agriculture",3166192,31 Lakh,0,0,7
RAJAN KUMAR,Graduate B.A.,Pension,1105550,11 Lakh,361410,3 Lakh,0
VIKASH KUMAR JAGNANI,10th Pass,Small Business,3074045,30 Lakh,334250,3 Lakh,0
VISHWAJEET KUMAR ALIAS VIKAS,Graduate B.Com,Business,56409,56 Thousand,0,0,0
SUSHIL KUMAR SHARMA,10th Pass,"Agriculture, Animal Husbandry, Politics",1956000,19 Lakh,455630,4 Lakh,0
VINAY BHUSHAN KUMAR,Doctorate Ph.D,Assistant Principal,2624000,26 Lakh,1362340,13 Lakh,0
SWETANK ANAND,Post Graduate,Agriculture & Politics,4315000,43 Lakh,0,0,0
SUBHASH RAM,10th Pass,Pension,2707000,27 Lakh,0,0,0
SHILAM JHA,Graduate Graduation,Social Worker,1300000,13 Lakh,0,0,0
SHWET RANJAN,Graduate Professional,Advocate,75972,75 Thousand,698230,6 Lakh,1
VIKASH KUMAR ALIAS DIKESH SINGH,Illiterate NA,Farmer,16529550,1 Crore,0,0,14
RAKESH KUMAR,12th Pass,Agriculture,7368000,73 Lakh,0,0,0
SUNIL KUMAR RAY,10th Pass,NA,860000,8 Lakh,0,0,3
RAJESH KUMAR SAH,12th Pass,LIC,14555906,1 Crore,0,0,0
LAKSHMAN YADAV,Literate,Agriculture,1310000,13 Lakh,0,0,0
HARERAM SINGH,Graduate Professional,Legal Profession,970500,9 Lakh,0,0,0
SANJU YADAV,10th Pass,Agriculture & Social Worker,26304560,2 Crore,236400,2 Lakh,0
BARUN KUMAR YADAV,Literate,Agriculture and Labour,6287000,62 Lakh,0,0,0
SHIVAM KUMAR RAJ,Graduate,Business(Shop),191454,1 Lakh,0,0,0
SAMARJAY SINGH,10th Pass,Agriculture,3021000,30 Lakh,0,0,0
SAROJ YADAV,10th Pass,Bihar Legislative Assembly Member,29952462,2 Crore,1450620,14 Lakh,7
RAM KUMAR,Post Graduate,Labour,7693213,76 Lakh,0,0,0
JAI KISHUN SAHNI,Literate,Nil,632000,6 Lakh,0,0,0
MITU KUMARI,Graduate B.Com.,House Wife & Social Worker,5509000,55 Lakh,0,0,1
RAVINDRA KUMAR,Graduate BA,Agriculture,20924000,2 Crore,0,0,0
PINKI SINHA,10th Pass,Housewife,2970200,29 Lakh,0,0,0
CHETNA JHAMB,Graduate B.A,Business,31000000,3 Crore,738280,7 Lakh,0
VIKKY KUMAR,Post Graduate,Advocacy & Startup,667450,6 Lakh,698300,6 Lakh,0
MADAN SINGH,8th Pass,"Agriculture and Other, Panchaayat Samiti Sadasy, Andhari East",2077712,20 Lakh,0,0,5
AMARDEEP KUMAR JAI,Post Graduate,Agriculture Labour,3482500,34 Lakh,0,0,0
HARI LAL SHARMA,Post Graduate,NIL,921000,9 Lakh,0,0,0
SHIV KUMAR PASWAN,10th Pass,Retired Pension,2850000,28 Lakh,360330,3 Lakh,0
MUMTAJ ANSARI,Literate,Nil,1170000,11 Lakh,0,0,0
DILEEP KUMAR,Graduate Graduation,"Study, Social Work",19958288,1 Crore,300000,3 Lakh,9
MRITUNJAY KUMAR,Graduate,Medical Supplies business,415000,4 Lakh,478960,4 Lakh,1
RAM PUKAR THAKUR,Illiterate Not,NA,8606001,86 Lakh,0,0,0
SANJEEV CHOWDHARY,Post Graduate,Private Teacher,105000,1 Lakh,0,0,0
RAJKUMAR,Post Graduate,Pvt. Teacher,16333000,1 Crore,676290,6 Lakh,0
RANJEET KUMAR,10th Pass,Truck Income,2681000,26 Lakh,0,0,2
IMTIYAZ AHMAD,12th Pass,Cyber Cafe,4085786,40 Lakh,495650,4 Lakh,0
MOHAMMAD MAHTAB ALAM,Post Graduate,"Tenancy, Social Work",13149312,1 Crore,0,0,0
SANNEE KUMAR,Graduate B.A,Social Work,72000,72 Thousand,0,0,0
SUJEET PRIYDARSHI,"Graduate Graduate,","Business, Agriculture",50813000,5 Crore,1547946,15 Lakh,0
SANJEET KUMAR,Graduate BA,Business,190000,1 Lakh,542410,5 Lakh,0
SAROJ KUMARI,12th Pass,"House Wife, Business",3311975,33 Lakh,498100,4 Lakh,0
RAM SUKAMAR YADAV,12th Pass,Business,4260000,42 Lakh,552400,5 Lakh,1
RAJ KISHOR GUPTA,12th Pass,Business and Agriculture,1374133395,137 Crore,610692,6 Lakh,2
GULAB KUMAR RAJAK,Graduate B.A.,Social Worker,1451700,14 Lakh,0,0,0
DILIP ROY,10th Pass,Agriculture,3160000,31 Lakh,0,0,1
SHRINIWAS SAH,8th Pass,Business,2653700,26 Lakh,0,0,1
YAPURA WADAT,12th Pass,,7041000,70 Lakh,0,0,0
RUBI KUMARI,Graduate,"Housewife, Social Worker, District Parishad member, Ward No. 7.",1147195,11 Lakh,0,0,0
ASHMA PARVEEN,Graduate Professional,Professional Doctor(Private Practice),36051195,3 Crore,3181480,31 Lakh,1
MAHA SHANKER CHOUDHARY,Graduate Professional,Agriculture,19347000,1 Crore,0,0,1
SURAJ PRAKASH RAM,Graduate B.A.,"Agriculture, Social Work",0,0,0,0,0
PRAMILA DEVI,Literate,House Wife,7158271,71 Lakh,1003961,10 Lakh,0
RANDHIR KESARI,Post Graduate,Nil,1315000,13 Lakh,800000,8 Lakh,0
SURJEET SHYAMAL,Post Graduate,"Agriculture, Former Employee IRCTC",11232114,1 Crore,38950,38 Thousand,1
AWADHESH PRASAD SINGH,Post Graduate,"Pensioner, Advocate, Agriculture & Social Worker",68169476,6 Crore,615491,6 Lakh,0
ABHAY KUMAR,Literate,Business,31210772,3 Crore,601658,6 Lakh,5
SURAJ KUMAR,Graduate B.Sc.,Nil,7643000,76 Lakh,0,0,0
SHYAM SUNDAR CHOUDHARY,Graduate,Transport Work,17271927,1 Crore,1554350,15 Lakh,0
SANTOSH KUMAR,8th Pass,Agriculture,2050000,20 Lakh,0,0,3
PRAMILA DEVI,Literate,House Wife,7158271,71 Lakh,1003961,10 Lakh,0
SURYA BHAN SINGH,12th Pass,Builder,145796229,14 Crore,6402600,64 Lakh,0
SURESH KUMAR RAM,12th Pass,Social Service,10000,10 Thousand,0,0,1
RANJIT KUMAR JHA ALIAS PINAKI JHA,10th Pass,Agriculture,4115000,41 Lakh,0,0,6
SUNIL ROY,10th Pass,Agriculture,1601000,16 Lakh,0,0,0
BALIRAM SINGH,8th Pass,Nil,4473000,44 Lakh,0,0,0
NAFISUL HAQUE,Post Graduate,Business,1085728,10 Lakh,695000,6 Lakh,0
RAHUL PASWAN,12th Pass,Labour,52000,52 Thousand,0,0,0
SHAMBHU SHANKAR,Literate,Business,0,0,0,0,0
SHASHIKANT KUMAR SHASHI ALIAS AMAR KUMAR SINGH,Others Diploma,Farmer & Social Worker,45573780,4 Crore,397180,3 Lakh,3
CHANDAN KUMAR,Post Graduate,Agriculture,960000,9 Lakh,0,0,0
RUPANJALI KUMARI,Literate,Agriculture,24800000,2 Crore,820150,8 Lakh,0
SUKESH KUMAR,12th Pass,Private Job,877000,8 Lakh,90000,90 Thousand,0
NARESH RAY,Literate,Social Worker,567000,5 Lakh,0,0,2
SUSHIL KUMAR RAJAK,Literate,Note Book Manufacturing,12300000,1 Crore,0,0,0
AMIT KUMAR ALBELA,Graduate,Business,18331716,1 Crore,521730,5 Lakh,0
RAJNISH KUMAR,12th Pass,Student,2081000,20 Lakh,0,0,0
SUSHIL KUMAR,12th Pass,Agriculture,3062700,30 Lakh,0,0,0
SURESH KUMAR GUPTA,12th Pass,Business,245000,2 Lakh,480560,4 Lakh,1
SITARAM SINGH,Literate,Social Worker,704600,7 Lakh,0,0,0
BRISHIN PATEL,Graduate,"Agriculture, Income from Interest",120297849,12 Crore,2789100,27 Lakh,1
LALU PRASAD YADAV,12th Pass,Agriculture,784000,7 Lakh,0,0,0
SANNU DEVI,Illiterate NA,Farmer,16529550,1 Crore,0,0,0
SABITA DEVI,12th Pass,House Wife,4055000,40 Lakh,0,0,0
DINESH KUMAR RAY,10th Pass,Social Worker,0,0,660760,6 Lakh,1
SUDHIR SINGH,10th Pass,Labour,2052068,20 Lakh,0,0,2
RANVEER KUMAR CHOURASIYA,Graduate Graduation,Agriculture,18000000,1 Crore,0,0,3
