Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
DILIP KUMAR SINGH,10th Pass,"1) Proprietor Hariom Agro Industrie, Gopalganj, 2) Director Hariom Feeds Pvt. Ld. Gopalganj",51631641,5 Crore,1387110,13 Lakh,0
MAHESHWAR HAZARI,Graduate,"Business, Agriculture & Social Service",96573390,9 Crore,4017200,40 Lakh,1
AVINASH KUMAR VIDYARTHI,12th Pass,"Rent, Hire charge, other sources",54999559,5 Crore,4834506,48 Lakh,5
CHANDRAHAS CHAUPAL,12th Pass,Agriculture,14581181,1 Crore,642790,6 Lakh,4
NARENDRA KUMAR SINGH ALIAS BOGO SINGH,12th Pass,"Agriculture, Politics and Social Service",105392691,10 Crore,1537210,15 Lakh,7
KIRAN DEVI,10th Pass,Social Worker,794000,7 Lakh,0,0,0
RAM KRIPAL YADAV,Graduate Graduation,Social Worker,35144091,3 Crore,1089120,10 Lakh,2
ARUN KUMAR SINGH,Doctorate Post,Agriculture,36337182,3 Crore,1521980,15 Lakh,1
SHIVNATH KUMAR,10th Pass,Private Job,10211000,1 Crore,0,0,0
NITIN NABIN,12th Pass,Social Worker & Minister in the Bihar Government,25030949,2 Crore,371050,3 Lakh,5
RANJAN KUMAR,Graduate Graduation,Business,85834277,8 Crore,2952722,29 Lakh,0
PUJA KUMARI,12th Pass,House Wife,5600462,56 Lakh,0,0,0
RABINDRA KUMAR DAS,10th Pass,Labour,124000,1 Lakh,0,0,0
INDRADEV SINGH,10th Pass,Agriculture and Business,43609000,4 Crore,497910,4 Lakh,0
AKHATAR MANSURI,10th Pass,Pvt Job,1936000,19 Lakh,0,0,0
SHIVANI SHUKLA,Post Graduate,Advocate,0,0,474200,4 Lakh,0
YASH RAJ,Graduate Bachelor,Agriculture & Self Employed & Bank Interest,19819352,1 Crore,1618330,16 Lakh,0
BISHWANATH CHAUDHARY,Graduate Professional,Govt Pension,33401863,3 Crore,1562298,15 Lakh,0
RAJESH KUMAR SINGH,12th Pass,Agriculture,17504819,1 Crore,528870,5 Lakh,4
BHAI BIRENDRA,Graduate B.A.,"Social Worker, Dairy, Agriculture",43100359,4 Crore,1178710,11 Lakh,7
SHATRUGHAN YADAV,10th Pass,Singer cum Actor,289155499,28 Crore,7355220,73 Lakh,1
JIBESH KUMAR,Doctorate Ph.D.,Agriculture& Members of the Legislative Assembly,58985908,5 Crore,869544,8 Lakh,6
RAVINDRA NATH SINGH,8th Pass,Agriculture,18973735,1 Crore,636940,6 Lakh,0
SUJIT KUMAR,Post Graduate,Social Service,105182041,10 Crore,3301580,33 Lakh,0
VIJAYESH KUMAR,Doctorate Ph.D.,Professor & Director - Parashar Hospital,53100000,5 Crore,410640,4 Lakh,1
SHEO SHANKAR GUPTA,Graduate,Social Worker & Self Employed & Agriculture,78050000,7 Crore,1086370,10 Lakh,1
MANJEET KUMAR SINGH,Graduate Graduation,Social Work,23684490,2 Crore,898950,8 Lakh,1
SANJAY SARAOGI,Post Graduate,"Politics, Social Work",65820000,6 Crore,848400,8 Lakh,3
PRIYADARSHI ASHOK,Graduate,Business,28981941,2 Crore,1283270,12 Lakh,0
DR UMA KANT PATHAK,Graduate Professional,Doctor,61042000,6 Crore,0,0,0
RAJESH KUMAR MANDAL,Graduate,Business and Social Service,10735304,1 Crore,611470,6 Lakh,1
RAKESH RANJAN,Graduate Professional,Agriculture,10441976,1 Crore,539250,5 Lakh,3
AWADHESH SINGH,12th Pass,Agriculture and Husbandry,55646082,5 Crore,2142080,21 Lakh,0
SHIV PRAKASH GARIB DAS,Post Graduate,Agriculture & Business,105878035,10 Crore,980530,9 Lakh,6
RUHAIL RANJAN,Post Graduate,Business/ Social Worker/ Agriculture,72385778,7 Crore,1018090,10 Lakh,0
MANMOHAN KUMAR,Graduate,"Small Business, Agriculture, Politics",600000,6 Lakh,0,0,1
MANOJ KUMAR,Literate,Labour,1925000,19 Lakh,0,0,0
RATNESH SADA,12th Pass,Social Work,30950830,3 Crore,1477810,14 Lakh,1
NASIMA KHATOON,5th Pass,House Wife,7493235,74 Lakh,0,0,3
ROBIN SMITH,Post Graduate,Business,57687800,5 Crore,1006490,10 Lakh,0
RAGHVENDRA PRATAP SINGH,10th Pass,"Agriculture, Salary (as Bihar Legislative Assembly Member)",9435532,94 Lakh,924120,9 Lakh,1
UMESH SINGH KUSHWAHA,12th Pass,"MLA Pension, Agriculture Business, Temporary Artificial Salary",26226285,2 Crore,1282784,12 Lakh,0
JANAK SINGH,Graduate Graduation,"Social worker, Agriculture, Dairy",83799654,8 Crore,793730,7 Lakh,5
PRAVAL KUMAR,Graduate B.A.,Sanvedak,2265000,22 Lakh,698780,6 Lakh,0
NAVEEN KUMAR SINGH URAF ABHAY SINGH,Graduate,Business,70831800,7 Crore,1054061,10 Lakh,1
SANOTSH PRASAD,10th Pass,Social Worker,723000,7 Lakh,0,0,1
MITHILESH KUMAR CHOUDHARY,Graduate,"Agriculture, Business and Saving Account Interest",57757362,5 Crore,418980,4 Lakh,1
RAM PRAVESH YADAV,10th Pass,"Agriculture, News Paper Agency & Automobile Business",52598806,5 Crore,670944,6 Lakh,0
GOPAL RAVI DAS,Graduate B.A.,Nil,2124246,21 Lakh,0,0,1
SUSHIL KUMAR,Graduate Professional,Advocate,156303760,15 Crore,741300,7 Lakh,1
ASHISH ANAND,12th Pass,Labour,5289038,52 Lakh,0,0,1
ANAND MISHRA,Post Graduate,Pvt. Advisor,24901331,2 Crore,185000,1 Lakh,1
LAL JEE RAM,Graduate,Agriculture,3065581,30 Lakh,200000,2 Lakh,0
MANOJ KUMAR,12th Pass,"Farming, Social Worker",15000,15 Thousand,0,0,0
SHANKAR PRASAD,Graduate,"Agriculture, Business, Social Work",23992046,2 Crore,729550,7 Lakh,2
BABLU KUMAR,Literate,Business,7295547,72 Lakh,694950,6 Lakh,0
GAUTAM KRISHNA,Doctorate Ph.D.,Social Worker,12935374,1 Crore,0,0,5
MITHILESH KUMAR NISHAD,Graduate,Agriculture and Business,10999743,1 Crore,689510,6 Lakh,4
SRIBHAGWAN SINGH KUSHWAHA,10th Pass,Social Worker and Agriculture,22627056,2 Crore,1441670,14 Lakh,1
BIRENDRA KUMAR,Graduate,Agriculture and Politics,11784500,1 Crore,692290,6 Lakh,0
VIKASH KUMAR SINGH,Graduate,Business,82457795,8 Crore,26552860,2 Crore,0
YOGI CHAUPAL,Literate,Nil,442311,4 Lakh,0,0,0
OM PRAKASH GARG,Graduate Professional,Business,83174022,8 Crore,1948220,19 Lakh,5
RUPA KUMARI,Literate,"Social Work, Dairy Business and Municipal Corporation Allowances",166254811,16 Crore,1067740,10 Lakh,0
RAJ KUMAR SINGH,Graduate Graduation,Business & Social Service,162520419,16 Crore,1347220,13 Lakh,0
VISHAL KUMAR JAISWAL,Graduate,Agriculture,50590251,5 Crore,9820750,98 Lakh,0
GOPAL KUMAR,Graduate,Agriculture,3120000,31 Lakh,0,0,0
PREM SHANKAR PRASAD,12th Pass,"Social Worker, Business",20747476,2 Crore,698930,6 Lakh,8
SANJAY KUMAR SINGH,Post Graduate,Business,291333124,29 Crore,3569830,35 Lakh,0
KOMAL SINGH,Post Graduate,Consultant and Business,141571593,14 Crore,3051400,30 Lakh,0
DR RAJESH KUMAR RATNAKAR,Post Graduate,Medical Practitioner,8489141,84 Lakh,0,0,1
RAJNISH KUMAR,Graduate Professional,Chartered Accountant,177439980,17 Crore,1790230,17 Lakh,2
KARNJEET SINGH ALIAS VYAS SINGH,12th Pass,Business,89311009,8 Crore,1857975,18 Lakh,5
VISHAL PRASHANT,12th Pass,"Social Service, Agriculture and Business",61694208,6 Crore,2251710,22 Lakh,0
RIMJHIM DEVI,12th Pass,House Wife,365000,3 Lakh,0,0,0
DHARMENDRA KUMAR,Post Graduate,Teacher & Social Worker,6247060,62 Lakh,3710874,37 Lakh,1
MOHAMMAD ISRAIL MANSURI,12th Pass,MLA Salary,13112633,1 Crore,554630,5 Lakh,2
ALOK KUMAR MEHTA,Graduate Professional,Agriculture,85520605,8 Crore,1178010,11 Lakh,3
RIT LAL ROY,12th Pass,Elected Members of the Bihar Legislative Assembly Year 2020,134974659,13 Crore,971380,9 Lakh,11
TRISHULDHARI SINGH,Literate,Business and Agriculture,107574089,10 Crore,929297,9 Lakh,0
NISHA RAJ,Graduate,House Wife,44897548,4 Crore,480050,4 Lakh,0
KUMAR NIRAJ,12th Pass,Business and Social Service,20031500,2 Crore,0,0,0
SHAMBHU NATH YADAV,10th Pass,"Agriculture, Business, Politics",0,0,2803300,28 Lakh,2
VIJAY KUMAR CHOUDHARY,Post Graduate,Social Work,31797965,3 Crore,883740,8 Lakh,0
AMAR KUMAR PASWAN,Post Graduate,Business,261734949,26 Crore,14592167,1 Crore,1
ALOK RANJAN,Doctorate Ph.D.,Social Worker & Business,41115378,4 Crore,1672443,16 Lakh,0
RADHA CHARAN SAH,8th Pass,Business & Social Work,278635930,27 Crore,8853730,88 Lakh,2
KUNDAN KUMAR,Post Graduate,MLA and Consultancy,126752458,12 Crore,4073460,40 Lakh,1
MUKESH KUMAR RAM,Doctorate Ph.D,Job,2955510,29 Lakh,70067,70 Thousand,0
RANVIJAY SAHU,Graduate B.Sc.,Agriculture & MLA Salary,62268454,6 Crore,2826170,28 Lakh,1
MANGAL PANDEY,Graduate B.A.,Social and Political Activist,30005194,3 Crore,1892836,18 Lakh,3
KUMAR PRANAY,Post Graduate,"Business, Agriculture",1705354570,170 Crore,1075999,10 Lakh,9
MIRA DEVI,10th Pass,Nil,6695000,66 Lakh,0,0,0
CHHOTE LAL RAI,10th Pass,Farmer,51621123,5 Crore,2261570,22 Lakh,2
CHANDRA SHEKHAR,Post Graduate,Assistant Professor,22711460,2 Crore,2673900,26 Lakh,7
PANKAJ KUMAR,Graduate Professional,Medical Prectioner (Doctor),87684390,8 Crore,2543230,25 Lakh,0
ADITYA KUMAR,Graduate Professional,Advocate,8465242,84 Lakh,1107050,11 Lakh,0
LAKSHMAN MANJHI,12th Pass,Social Worker,560000,5 Lakh,0,0,0
MRITUNJAY BHARDWAJ,Post Graduate,Agriculture,2425500,24 Lakh,0,0,0
KUMAR PUSHPENDRA,Graduate,Teacher,290000,2 Lakh,0,0,0
RAJIPAL JHA,12th Pass,Agriculture,9265000,92 Lakh,0,0,1
RAJU KUMAR,Graduate Graduation,Self Employment,5450000,54 Lakh,686080,6 Lakh,0
VINAY KUMAR SINGH,Post Graduate,Agriculture,8893370,88 Lakh,900640,9 Lakh,1
BANVARI KUMAR,12th Pass,NA,111000,1 Lakh,0,0,0
PRATIMA KUMARI,Graduate Professional,MLA,16532928,1 Crore,539240,5 Lakh,2
RANDHIR KUMAR SONI,Post Graduate,Business,81143453,8 Crore,10160040,1 Crore,1
RANJEET KUMAR RAM,Post Graduate,Advocate,5331000,53 Lakh,0,0,1
ARVIND KUMAR,Graduate Professional,Advocate,950000,9 Lakh,0,0,0
MADHUKAR JAY VIJAY,10th Pass,Agriculture,246500,2 Lakh,0,0,0
